time,syst-avail,syst-comm,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-tr,syst-tb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-st,syst-cpu-gu,syst-cgro-lim,syst-cgro-slim,syst-cgro-usg,syst-cgro-kusg,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-chea-usd,proc-chea-free,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2022-07-19 16:02:35","62512424","10086004","28","743024","","","530","1146","2","0","","","","","","","","14291684","656148","4025936","304888","279284","25604","0","0","41000","3852","","","5","","","33","262144","1942","128","51","64","2","21504","7488","9","1","","3","0","465","","",
"2022-07-19 16:02:36","62502564","10098248","28","743024","0","0","530","1153","1","0","1","0","99","0","0","","","14301104","656480","4494100","318204","287916","30288","0","0","46281","4479","1","0","6","1076","0","40","262144","7069","2752","2581","320","235","21504","7936","14","1","5","41","38","1348","883","0",
"2022-07-19 16:02:37","62502564","10098248","28","743024","0","0","530","1153","1","0","0","0","100","0","0","","","14301352","656492","4494100","318204","287916","30288","0","0","46281","4479","0","0","6","117","0","40","262144","7069","2752","2581","320","235","21504","7936","14","1","0","41","38","1348","0","0",
"2022-07-19 16:02:38","62502564","10098248","28","743024","0","0","530","1153","1","0","0","0","100","0","0","","","14301516","656488","4494100","318204","287916","30288","0","0","46281","4479","0","0","6","117","0","40","262144","7069","2752","2581","320","235","21504","7936","14","1","0","41","38","1348","0","0",
"2022-07-19 16:02:39","62502564","10098248","28","743024","0","0","530","1153","1","0","0","0","100","0","0","","","14301424","656492","4494100","318204","287916","30288","0","0","46281","4479","0","0","6","117","0","40","262144","7069","2752","2581","320","235","21504","7936","14","1","0","41","38","1348","0","0",
"2022-07-19 16:02:40","62502312","10098248","28","743024","0","0","530","1153","1","0","0","0","100","0","0","","","14301580","656488","4494100","318204","287916","30288","0","0","43722","7038","0","0","6","117","0","40","262144","7069","2752","2581","320","235","21504","7936","14","1","0","41","38","1348","0","0",
"2022-07-19 16:02:41","62502312","10098232","28","743024","0","0","530","1152","1","0","0","0","100","0","0","","","14301392","656464","4494100","318332","287980","30352","0","0","43718","7042","0","0","6","117","0","39","262144","7069","2752","2581","320","235","21504","7936","13","1","0","41","38","1348","0","0",
"2022-07-19 16:02:42","61234088","10162048","29","743024","0","0","530","1215","4","0","10","7","82","0","0","","","15576804","660912","8621068","1580680","1550348","30332","0","0","1346814","5345","11","7","6","132","0","102","262144","23528","2816","2639","320","242","21504","7936","76","65","64","42","39","1394","46","0",
"2022-07-19 16:02:43","60921688","10134696","28","743024","0","0","530","1150","1","0","2","2","101","0","0","","","15879852","659912","8594340","1893468","1863136","30332","0","0","1617602","7582","2","2","6","119","0","37","262144","23528","2816","2644","320","242","21504","7936","11","1","0","42","39","1394","0","0",
"2022-07-19 16:02:44","60921688","10134696","28","743024","0","0","530","1150","1","0","0","0","100","0","0","","","15879864","659908","8594340","1893468","1863136","30332","0","0","1617602","7582","0","0","6","117","0","37","262144","23528","2816","2644","320","242","21504","7936","11","1","0","42","39","1394","0","0",
"2022-07-19 16:02:45","60919424","10134744","28","743024","0","0","530","1150","1","0","0","0","100","0","0","","","15881192","659912","8594340","1893468","1863136","30332","0","0","1616822","8362","0","0","6","117","0","37","262144","23528","2816","2644","320","242","21504","7936","11","1","0","42","39","1394","0","0",
"2022-07-19 16:02:46","60915384","10134744","28","743024","0","0","530","1147","1","0","0","0","100","0","0","","","15880124","659824","8594340","1893468","1863136","30332","0","0","1616822","8362","0","0","6","117","0","37","262144","23528","2816","2644","320","242","21504","7936","11","1","0","42","39","1394","0","0",


