time,syst-avail,syst-comm,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-tr,syst-tb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-st,syst-cpu-gu,syst-cgro-lim,syst-cgro-slim,syst-cgro-usg,syst-cgro-kusg,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-chea-usd,proc-chea-free,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2022-07-19 15:44:44","62421516","10492124","29","758724","","","528","1178","4","0","","","","","","","","14204624","657576","4025936","305552","280096","25456","0","0","40968","3852","","","5","","","33","262144","1942","128","51","64","2","21504","7488","9","1","","3","0","465","","",
"2022-07-19 15:44:45","62412224","10504416","30","758724","0","0","528","1185","2","0","1","0","99","0","0","","","14214220","657840","4494100","319384","288860","30524","0","0","46538","4426","1","0","6","1076","0","40","262144","7069","2752","2582","320","235","21504","7936","14","1","5","41","38","1348","883","0",
"2022-07-19 15:44:46","62412040","10504360","30","758724","0","0","528","1185","1","0","0","0","100","0","0","","","14214328","657952","4494100","319384","288860","30524","0","0","46538","4426","0","0","6","117","0","40","262144","7069","2752","2582","320","235","21504","7936","14","1","0","41","38","1348","0","0",
"2022-07-19 15:44:47","62412540","10502612","30","758724","0","0","528","1185","1","0","0","0","100","0","0","","","14211980","657928","4494100","319384","288860","30524","0","0","46538","4426","0","0","6","117","0","40","262144","7069","2752","2582","320","235","21504","7936","14","1","0","41","38","1348","0","0",
"2022-07-19 15:44:48","62412540","10502612","30","758724","0","0","528","1185","1","0","0","0","100","0","0","","","14211960","657924","4494100","319384","288860","30524","0","0","46538","4426","0","0","6","117","0","40","262144","7069","2752","2582","320","235","21504","7936","14","1","0","41","38","1348","0","0",
"2022-07-19 15:44:49","62412276","10502612","30","758724","0","0","528","1185","1","0","0","0","100","0","0","","","14212016","657928","4494100","319384","288860","30524","0","0","43723","7241","0","0","6","117","0","40","262144","7069","2752","2582","320","235","21504","7936","14","1","0","41","38","1348","0","0",
"2022-07-19 15:44:50","62412276","10502596","30","758724","0","0","528","1184","1","0","0","0","100","0","0","","","14212188","657900","4494100","319540","289016","30524","0","0","43719","7245","0","0","6","117","0","39","262144","7069","2752","2582","320","235","21504","7936","13","1","0","41","38","1348","0","0",
"2022-07-19 15:44:51","61581204","10502660","30","758724","0","0","528","1183","2","0","3","1","96","0","0","","","15045452","659492","5280532","1151268","1120752","30516","0","0","881661","6059","3","1","6","132","0","39","262144","7146","2816","2637","320","242","21504","7936","13","2","2","42","39","1394","46","0",
"2022-07-19 15:44:52","60664176","10502644","30","758716","2","0","528","1182","2","0","4","1","96","0","0","","","15962220","661260","6198036","2066756","2036240","30516","0","0","1796403","6061","4","1","6","118","0","38","262144","7146","2816","2637","320","242","21504","7936","12","2","0","42","39","1394","0","0",
"2022-07-19 15:44:53","59741100","10502644","30","758716","0","0","528","1182","2","0","4","1","96","0","0","","","16880152","663044","7115540","2983364","2952848","30516","0","0","2712860","6064","4","1","6","117","0","38","262144","7146","2816","2637","320","242","21504","7936","12","2","0","42","39","1394","0","0",
"2022-07-19 15:44:54","58818288","10502644","30","758716","0","0","528","1182","2","0","4","1","96","0","0","","","17802988","664852","8033044","3904460","3873944","30516","0","0","3633100","6740","4","1","6","117","0","38","262144","7146","2816","2637","320","242","21504","7936","12","2","0","42","39","1394","0","0",
"2022-07-19 15:44:55","58207432","10502628","30","758716","0","0","528","1181","1","0","2","1","97","0","0","","","18413908","666024","8688404","4513872","4483356","30516","0","0","","","2","0","6","118","0","37","262144","7146","2816","2640","320","242","21504","7936","11","1","0","42","39","1394","0","0",
"2022-07-19 15:44:56","58207432","10502628","30","758716","0","0","528","1181","1","0","0","0","100","0","0","","","18413832","666016","8688404","4513872","4483356","30516","0","0","","","0","0","6","117","0","37","262144","7146","2816","2640","320","242","21504","7936","11","1","0","42","39","1394","0","0",
"2022-07-19 15:44:57","58207448","10502628","30","758716","0","0","528","1181","1","0","0","0","100","0","0","","","18414036","666024","8688404","4513872","4483356","30516","0","0","","","0","0","6","117","0","37","262144","7146","2816","2640","320","242","21504","7936","11","1","0","42","39","1394","0","0",
"2022-07-19 15:44:58","58207448","10502628","30","758716","0","0","528","1181","2","0","0","0","100","0","0","","","18413844","666024","8688404","4513872","4483356","30516","0","0","","","0","0","6","117","0","37","262144","7146","2816","2640","320","242","21504","7936","11","1","0","42","39","1394","0","0",


