time,syst-avail,syst-comm,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-tr,syst-tb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-st,syst-cpu-gu,syst-cgro-lim,syst-cgro-slim,syst-cgro-usg,syst-cgro-kusg,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-chea-usd,proc-chea-free,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2022-07-19 16:15:26","60641848","11992068","34","740584","","","532","1152","2","0","","","","","","","","16230316","661896","5901284","2186800","2160992","25808","0","0","47318","3878","","","5","","","33","2097152","2024","128","51","64","2","21504","7488","9","1","","3","0","465","","",
"2022-07-19 16:15:27","60474208","12049888","34","740584","0","0","532","1192","32","0","45","1","54","0","0","","","16422424","664444","8499164","2350860","2320088","30772","0","0","161528","35120","45","1","25","28886","25261","72","2097152","107641","14336","14053","2048","1913","21504","9344","46","26","38","153","148","3001","2536","0",
"2022-07-19 16:15:28","60321300","12049888","34","740584","0","0","532","1188","25","0","77","10","8","0","0","","","16577824","664640","8499164","2507452","2476496","30956","0","0","295163","56941","79","10","25","145","0","68","2097152","1066528","14336","14054","2048","1913","21504","9408","42","26","0","153","148","3001","0","0",
"2022-07-19 16:15:29","60282520","12049916","34","740584","0","0","532","1185","22","0","69","13","10","0","0","","","16612884","664652","8499164","2542828","2511872","30956","0","0","329289","57655","71","14","25","132","0","65","2097152","920617","14336","14054","2048","1913","21504","9536","39","26","0","153","148","3001","0","0",
"2022-07-19 16:15:30","60188780","12049868","34","740584","0","0","532","1182","24","0","69","14","9","0","0","","","16703376","664992","8499164","2633324","2602368","30956","0","0","295841","180359","72","14","25","121","0","62","2097152","573923","14336","14054","2048","1913","21504","9536","36","26","0","153","148","3001","0","0",
"2022-07-19 16:15:31","60121248","12041676","34","740584","0","0","532","1181","22","0","70","13","9","0","0","","","16774700","664844","8499164","2704336","2673380","30956","0","0","363034","184426","73","14","25","122","0","62","2097152","506608","14336","14058","2048","1913","21504","9536","36","26","0","153","148","3001","0","0",
"2022-07-19 16:15:32","60116208","12042092","34","740584","0","0","532","1187","18","0","57","8","29","0","0","","","16778816","665008","8499164","2710112","2679092","31020","0","0","332934","273382","59","9","25","180","0","68","2097152","354202","14528","14014","2048","1876","24128","9664","42","26","33","57","52","2919","17","99",
"2022-07-19 16:15:33","60000808","12042044","34","740584","0","0","532","1184","23","0","67","13","10","0","0","","","16900212","666320","8499164","2828328","2797308","31020","0","0","527724","199624","71","14","25","122","0","65","2097152","392451","14528","14014","2048","1876","24128","9664","39","26","0","57","52","2919","0","0",
"2022-07-19 16:15:34","59934280","12042036","34","740584","0","0","532","1183","24","0","66","15","12","0","0","","","16962768","665380","8499164","2892172","2861152","31020","0","0","485614","304338","69","15","25","119","0","64","2097152","446279","14528","14014","2048","1876","24128","9664","38","26","0","57","52","2919","0","0",
"2022-07-19 16:15:35","59888688","12042056","34","740584","0","0","532","1181","22","0","63","15","13","0","0","","","17007436","665404","8499164","2937084","2906064","31020","0","0","522349","312479","66","16","25","119","0","63","2097152","523155","14528","14014","2048","1876","24128","9664","37","26","0","57","52","2919","0","0",
"2022-07-19 16:15:36","59881132","12042040","34","740584","0","0","532","1180","21","0","57","13","22","0","0","","","17016660","666448","8499164","2945960","2914940","31020","0","0","607285","236067","60","14","25","119","0","62","2097152","203674","14528","14014","2048","1876","24128","9664","36","26","26","57","52","2919","0","0",
"2022-07-19 16:15:37","59845340","12042040","34","740584","0","0","532","1180","21","0","68","14","10","0","0","","","17051732","665472","8499164","2980760","2949740","31020","0","0","567550","310810","72","14","25","119","0","62","2097152","330468","14528","14014","2048","1876","24128","9664","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:38","59794460","12042040","34","740584","0","0","532","1179","25","0","67","15","10","0","0","","","17100712","665532","8499164","3028528","2997508","31020","0","0","551644","374828","70","16","25","119","0","62","2097152","485178","14528","14014","2048","1876","24128","9664","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:39","59774560","12042040","34","740584","0","0","532","1179","22","0","65","16","10","0","0","","","17125620","666628","8499164","3052552","3021532","31020","0","0","728858","222598","69","17","25","118","0","62","2097152","740748","14528","14014","2048","1876","24128","9664","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:40","59734468","12033848","34","740584","0","0","532","1178","22","0","54","10","29","0","0","","","17159632","665516","8499164","3089400","3058380","31020","0","0","654758","330610","57","11","25","120","0","62","2097152","184728","14528","14016","2048","1876","24128","9664","36","26","26","57","52","2919","0","0",
"2022-07-19 16:15:41","59708780","12033848","34","740584","0","0","532","1178","23","0","68","14","10","0","0","","","17186396","665652","8499164","3114956","3083936","31020","0","0","616798","394642","71","14","25","118","0","62","2097152","252650","14528","14016","2048","1876","24128","9664","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:42","59690404","12033848","34","740584","0","0","532","1178","23","0","66","15","10","0","0","","","17206816","666592","8499164","3135248","3104228","31020","0","0","801876","231484","70","16","25","118","0","62","2097152","382779","14528","14016","2048","1876","24128","9664","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:43","59674756","12033848","34","740584","0","0","532","1178","23","0","66","15","10","0","0","","","17219496","665728","8499164","3149188","3118168","31020","0","0","764064","281848","70","16","25","118","0","62","2097152","567700","14528","14016","2048","1876","24128","9664","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:44","59623348","12033916","34","740584","0","0","532","1178","21","0","58","11","25","0","0","","","17271148","665748","8499164","3202072","3171052","31020","0","0","698362","399230","60","11","25","119","0","62","2097152","249755","14528","14020","2048","1876","24128","9728","36","26","26","57","52","2919","0","0",
"2022-07-19 16:15:45","59608480","12033952","34","740584","0","0","532","1178","26","0","66","14","12","0","0","","","17287884","666608","8499164","3216812","3185792","31020","0","0","840879","272225","70","14","25","118","0","62","2097152","228582","14528","14020","2048","1876","24128","9728","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:46","59606476","12033952","34","740584","0","0","532","1178","19","0","67","14","10","0","0","","","17287840","665880","8499164","3217596","3186576","31020","0","0","848409","265579","71","15","25","118","0","62","2097152","344382","14528","14020","2048","1876","24128","9728","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:47","59562408","12033952","34","740584","0","0","532","1178","23","0","67","14","10","0","0","","","17332260","665968","8499164","3260848","3229828","31020","0","0","809435","348457","71","15","25","118","0","62","2097152","488852","14528","14020","2048","1876","24128","9728","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:48","59519820","12033552","34","740584","0","0","532","1180","7","0","57","10","26","0","0","","","17374112","666000","8499164","3305740","3274720","31020","0","0","782719","418489","59","11","25","120","0","37","2097152","5529","14528","14021","2048","1876","24128","9728","11","1","1","57","52","2919","0","0",
"2022-07-19 16:15:49","59518048","12033984","34","740584","0","0","532","1181","23","0","66","15","10","0","0","","","17376364","666104","8499164","3306000","3274980","31020","0","0","942912","258624","70","15","25","118","0","64","2097152","214238","14528","14021","2048","1876","24128","9728","38","26","27","57","52","2919","0","0",
"2022-07-19 16:15:50","59507716","12033984","34","740584","0","0","532","1183","19","0","66","15","10","0","0","","","17385276","666168","8499164","3315200","3284180","31020","0","0","905479","305937","70","16","25","118","0","64","2097152","334135","14528","14021","2048","1876","24128","9728","38","26","0","57","52","2919","0","0",
"2022-07-19 16:15:51","59459836","12033984","34","740584","0","0","532","1183","23","0","66","15","10","0","0","","","17435000","666984","8499164","3363988","3332968","31020","0","0","869607","391481","70","16","25","118","0","64","2097152","446353","14528","14021","2048","1876","24128","9728","38","26","0","57","52","2919","0","0",
"2022-07-19 16:15:52","59438920","12033648","34","740584","0","0","532","1162","7","0","58","12","24","0","0","","","17455320","665788","8499164","3387240","3356220","31020","0","0","1047780","236205","61","12","25","119","0","43","2097152","264870","14528","14021","2048","1876","24128","9728","17","7","0","57","52","2919","0","0",
"2022-07-19 16:15:53","59443220","11993236","34","740584","0","0","531","1178","22","0","65","14","14","0","0","","","17442196","665856","8499164","3388564","3357544","31020","0","0","993512","290996","68","14","25","119","0","62","2097152","78046","14528","14022","2048","1876","24128","9728","36","26","26","57","52","2919","0","0",
"2022-07-19 16:15:54","59408200","11993236","34","740584","0","0","531","1178","20","0","69","14","10","0","0","","","17481624","666716","8499164","3425396","3394376","31020","0","0","954090","368802","71","15","25","117","0","62","2097152","172855","14528","14022","2048","1876","24128","9728","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:55","59362840","11993236","34","740584","0","0","531","1178","19","0","67","14","10","0","0","","","17532112","666048","8499164","3477388","3446368","31020","0","0","1154640","221480","71","15","25","117","0","62","2097152","259470","14528","14022","2048","1876","24128","9728","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:56","59355784","11992916","34","740584","0","0","531","1157","5","0","60","12","21","0","0","","","17534640","665532","8499164","3482384","3451364","31020","0","0","1089282","289282","63","13","25","117","0","42","2097152","128592","14528","14022","2048","1876","24128","9728","16","6","0","57","52","2919","0","0",
"2022-07-19 16:15:57","59334616","11993236","34","740584","0","0","531","1178","24","0","62","13","19","0","0","","","17560084","666916","8499164","3504176","3473156","31020","0","0","1038724","362292","64","13","25","118","0","62","2097152","1031869","14528","14024","2048","1876","24128","9728","36","26","26","57","52","2919","0","0",
"2022-07-19 16:15:58","59287272","11993236","34","740584","0","0","531","1178","25","0","68","15","10","0","0","","","17610284","666196","8499164","3553648","3522628","31020","0","0","1212654","238318","70","16","25","117","0","62","2097152","1111312","14528","14024","2048","1876","24128","9728","36","26","0","57","52","2919","0","0",
"2022-07-19 16:15:59","59280724","11993236","34","740584","0","0","531","1176","22","0","66","15","10","0","0","","","17609600","666160","8499164","3553648","3522628","31020","0","0","1188180","262792","69","16","25","117","0","62","2097152","1157482","14528","14024","2048","1876","24128","9728","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:00","59228596","11993044","34","740584","0","0","531","1163","12","0","66","15","12","0","0","","","17664748","667048","8499164","3609476","3578456","31020","0","0","1144805","361135","69","15","25","117","0","50","2097152","1261510","14528","14024","2048","1876","24128","9728","24","14","0","57","52","2919","0","0",
"2022-07-19 16:16:01","59209428","11993300","34","740584","0","0","531","1176","20","0","58","12","23","0","0","","","17686808","666204","8499164","3631504","3600484","31020","0","0","1260278","268150","61","13","25","118","0","62","2097152","900662","14528","14039","2048","1876","24128","9792","36","26","26","57","52","2919","0","0",
"2022-07-19 16:16:02","59204188","11993300","34","740584","0","0","531","1180","23","0","67","15","10","0","0","","","17688768","666404","8499164","3632560","3601540","31020","0","0","1270744","259204","70","15","25","117","0","62","2097152","1061516","14528","14039","2048","1876","24128","9792","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:03","59151532","11993208","34","740584","0","0","531","1180","18","0","65","16","10","0","0","","","17743448","667400","8499164","3686288","3655268","31020","0","0","1236324","347008","69","17","25","117","0","62","2097152","1168097","14528","14039","2048","1876","24128","9792","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:04","59103636","11992984","34","740584","0","0","531","1165","12","0","65","14","14","0","0","","","17793608","666288","8499164","3738796","3707776","31020","0","0","1319265","316139","68","14","25","117","0","48","2097152","1239360","14528","14039","2048","1876","24128","9792","22","12","0","57","52","2919","0","0",
"2022-07-19 16:16:05","59098840","11993208","34","740584","0","0","531","1180","21","0","62","12","18","0","0","","","17795208","666608","8499164","3739984","3708964","31020","0","0","1363439","272577","65","13","25","118","0","62","2097152","1050812","14528","14045","2048","1876","24128","9792","36","26","26","57","52","2919","0","0",
"2022-07-19 16:16:06","59087756","11993208","34","740584","0","0","531","1180","25","0","66","15","10","0","0","","","17805896","666608","8499164","3750764","3719744","31020","0","0","1324280","322612","69","16","25","117","0","62","2097152","1205006","14528","14045","2048","1876","24128","9792","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:07","59042144","11993208","34","740584","0","0","531","1180","24","0","66","15","11","0","0","","","17852788","666704","8499164","3795596","3764576","31020","0","0","1302864","390476","70","16","25","117","0","62","2097152","18836","14528","14045","2048","1876","24128","9792","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:08","59023248","11992984","34","740584","0","0","531","1162","6","0","66","13","14","0","0","","","17871468","666372","8499164","3816500","3785480","31020","0","0","1475997","237943","69","14","25","117","0","48","2097152","144636","14528","14045","2048","1876","24128","9792","22","12","0","57","52","2919","0","0",
"2022-07-19 16:16:09","59017392","11993208","34","740584","0","0","531","1178","24","0","60","14","19","0","0","","","17876712","666728","8499164","3820896","3789876","31020","0","0","1422302","294650","63","14","25","120","0","62","2097152","1146551","14528","14051","2048","1876","24128","9792","36","26","26","57","52","2919","0","0",
"2022-07-19 16:16:10","58959980","11993208","34","740584","0","0","531","1178","14","0","68","14","11","0","0","","","17932996","666832","8499164","3876240","3845220","31020","0","0","1388470","384766","71","15","25","117","0","62","2097152","7477","14528","14051","2048","1876","24128","9792","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:11","58927976","11993208","34","740584","0","0","531","1178","25","0","67","15","10","0","0","","","17968484","666908","8630236","3911616","3880596","31020","0","0","1575641","235159","70","16","25","118","0","62","2097152","169876","14528","14051","2048","1876","24128","9792","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:12","58905288","11992936","34","740584","0","0","531","1159","7","0","62","12","20","0","0","","","17985848","666552","8957916","3931160","3900140","31020","0","0","1524663","302445","64","13","25","117","0","45","2097152","86094","14528","14051","2048","1876","24128","9792","19","9","0","57","52","2919","0","0",
"2022-07-19 16:16:13","58870256","11993272","34","740584","0","0","531","1178","21","0","63","12","17","0","0","","","18022896","666936","9351132","3966036","3935016","31020","0","0","1475597","387183","66","13","25","119","0","62","2097152","1039547","14528","14055","2048","1876","24128","9856","36","26","26","57","52","2919","0","0",
"2022-07-19 16:16:15","58834724","11993272","34","740584","0","0","531","1178","23","0","33","8","5","0","0","","","18061008","667104","9678812","4003432","3972412","31020","0","0","1672600","230152","35","8","25","117","0","62","2097152","1167638","14528","14055","2048","1876","24128","9856","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:16","58826448","11993272","34","740584","0","0","531","1178","23","0","65","15","13","0","0","","","18067232","667108","9678812","4008976","3977956","31020","0","0","1624765","281667","68","15","25","117","0","62","2097152","1213804","14528","14055","2048","1876","24128","9856","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:17","58764928","11993048","34","740584","0","0","531","1163","9","0","65","14","14","0","0","","","18126592","666900","9744348","4071436","4040416","31020","0","0","1577899","389373","68","14","25","117","0","48","2097152","40104","14528","14055","2048","1876","24128","9856","22","12","0","57","52","2919","0","0",
"2022-07-19 16:16:18","58740484","11993272","34","740584","0","0","531","1178","17","0","64","13","19","0","0","","","18155128","667276","9744348","4097908","4066888","31020","0","0","1757299","238901","65","13","25","118","0","62","2097152","937665","14528","14055","2048","1876","24128","9856","36","26","26","57","52","2919","0","0",
"2022-07-19 16:16:19","58727668","11993272","34","740584","0","0","531","1178","23","0","66","15","11","0","0","","","18163312","667312","9744348","4104236","4073216","31020","0","0","1710209","291435","70","16","25","117","0","62","2097152","1024790","14528","14055","2048","1876","24128","9856","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:20","58679792","11993272","34","740584","0","0","532","1179","25","0","68","15","10","0","0","","","18214788","667400","9809884","4155556","4124536","31020","0","0","1677506","375221","71","15","25","118","0","62","2097152","1170284","14528","14055","2048","1876","24128","9856","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:21","58640700","11993048","34","740584","0","0","532","1164","12","0","65","14","15","0","0","","","18254924","667152","9875420","4197832","4166812","31020","0","0","","","67","14","25","118","0","48","2097152","1254338","14528","14055","2048","1876","24128","9856","22","12","0","57","52","2919","0","0",
"2022-07-19 16:16:22","58634936","11993272","34","740584","0","0","532","1178","23","0","61","13","19","0","0","","","18255184","667448","9875420","4199024","4168004","31020","0","0","","","64","13","25","118","0","62","2097152","1036340","14528","14061","2048","1876","24128","9856","36","26","26","57","52","2919","0","0",
"2022-07-19 16:16:23","58620068","11993272","34","740584","0","0","532","1178","20","0","67","15","9","0","0","","","18272712","667504","9875420","4213992","4182972","31020","0","0","","","70","16","25","118","0","62","2097152","1130118","14528","14061","2048","1876","24128","9856","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:24","58567704","11993272","34","740584","0","0","532","1176","23","0","66","15","10","0","0","","","18325668","667552","9875420","4267452","4236432","31020","0","0","","","69","15","25","118","0","62","2097152","1104608","14528","14061","2048","1876","24128","9856","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:25","58562128","11993192","34","740584","0","0","532","1171","19","0","64","16","11","0","0","","","18329844","667444","9875420","4271968","4240948","31020","0","0","","","67","16","25","118","0","57","2097152","1019707","14528","14061","2048","1876","24128","9856","31","21","0","57","52","2919","0","0",
"2022-07-19 16:16:26","58538200","11993336","34","740584","0","0","532","1176","19","0","51","11","30","0","0","","","18353832","667520","9875420","4296792","4265772","31020","0","0","","","54","12","25","118","0","62","2097152","324789","14592","14067","2048","1876","24128","9856","36","26","26","57","52","2919","0","0",
"2022-07-19 16:16:27","58528420","11993336","34","740584","0","0","532","1176","23","0","66","15","10","0","0","","","18366636","667628","10006492","4309144","4278124","31020","0","0","","","70","15","25","118","0","62","2097152","267027","14592","14067","2048","1876","24128","9856","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:28","58515320","11993336","34","740584","0","0","532","1176","22","0","64","16","11","0","0","","","18379064","667628","10006492","4321544","4290524","31020","0","0","","","67","17","25","118","0","62","2097152","289644","14592","14067","2048","1876","24128","9856","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:29","58481576","11993336","34","740584","0","0","532","1176","23","0","68","14","10","0","0","","","18411068","667720","10006492","4352400","4321380","31020","0","0","","","71","14","25","118","0","62","2097152","192460","14592","14067","2048","1876","24128","9856","36","26","0","57","52","2919","0","0",
"2022-07-19 16:16:30","58481072","11993448","34","740584","0","0","532","1179","21","0","54","11","29","0","0","","","18411356","667688","10006492","4353788","4322768","31020","0","0","","","56","11","25","119","0","65","2097152","1067417","14592","14068","2048","1876","24128","9920","39","26","29","57","52","2919","0","0",
