time,syst-avail,syst-comm,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-tr,syst-tb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-st,syst-cpu-gu,syst-cgro-lim,syst-cgro-slim,syst-cgro-usg,syst-cgro-kusg,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-chea-usd,proc-chea-free,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2022-07-19 16:17:31","60646540","11896340","34","740584","","","532","1143","2","0","","","","","","","","16217884","661396","5968608","2188036","2161568","26468","0","0","476","4052","","","5","","","33","2097152","2024","128","51","64","2","21504","7488","9","1","","3","0","465","","",
"2022-07-19 16:17:32","60445460","11952488","34","740584","0","0","532","1182","24","0","49","2","47","0","0","","","16448768","664512","9044624","2390568","2359692","30876","0","0","1888","8772","50","2","25","28886","25261","72","2097152","293200","14336","14038","2048","1906","21504","9280","46","26","38","161","156","2998","2533","0",
"2022-07-19 16:17:33","60361108","11952504","34","740584","0","0","532","1175","22","0","78","8","8","0","0","","","16529772","664720","9186960","2470792","2439916","30876","0","0","1879","8781","80","8","25","138","0","65","2097152","352740","14336","14039","2048","1906","21504","9408","39","26","0","161","156","2998","0","0",
"2022-07-19 16:17:34","60320536","11952568","34","740584","0","0","532","1175","23","0","74","11","8","0","0","","","16573332","664832","9258640","2515604","2484600","31004","0","0","1879","8781","77","12","25","128","0","65","2097152","317496","14336","14039","2048","1906","21504","9472","39","26","0","161","156","2998","0","0",
"2022-07-19 16:17:35","60242204","11952552","34","740584","0","0","532","1174","24","0","76","11","7","0","0","","","16649792","664972","9340560","2592288","2561284","31004","0","0","1877","8783","77","11","25","122","0","64","2097152","230742","14336","14039","2048","1906","21504","9472","38","26","0","161","156","2998","0","0",
"2022-07-19 16:17:36","60205168","11952488","34","740584","0","0","532","1166","13","0","71","11","11","0","0","","","16666332","664848","9381520","2609424","2578420","31004","0","0","1852","8808","73","11","25","123","0","56","2097152","153168","14400","14043","2048","1906","21504","9472","30","18","0","161","156","2998","0","0",
"2022-07-19 16:17:37","60205676","11952856","34","740584","0","0","532","1177","18","0","53","9","32","0","0","","","16674864","665100","9405584","2617016","2586012","31004","0","0","1812","8848","55","9","25","182","0","67","2097152","384308","14528","13960","2112","1865","24256","9536","41","26","33","57","52","2908","17","107",
"2022-07-19 16:17:38","60059892","11952776","34","740584","0","0","532","1172","24","0","68","14","9","0","0","","","16844276","665344","9569424","2785316","2754312","31004","0","0","1805","8855","71","15","25","121","0","62","2097152","477971","14528","13960","2112","1865","24256","9536","36","26","0","57","52","2908","0","0",
"2022-07-19 16:17:39","60033936","11952776","34","740584","0","0","532","1172","18","0","68","14","8","0","0","","","16859932","665412","9614480","2802164","2771160","31004","0","0","1805","8855","72","15","25","118","0","62","2097152","655352","14528","13960","2112","1865","24256","9536","36","26","0","57","52","2908","0","0",
"2022-07-19 16:17:40","59989604","11952776","34","740584","0","0","532","1172","24","0","68","14","9","0","0","","","16906476","665480","9637008","2847584","2816580","31004","0","0","1805","8855","72","14","25","118","0","62","2097152","700857","14528","13960","2112","1865","24256","9536","36","26","0","57","52","2908","0","0",
"2022-07-19 16:17:41","59954400","11952776","34","740584","0","0","532","1174","24","0","63","11","20","0","0","","","16936132","665516","9663632","2879988","2848984","31004","0","0","1805","8855","65","11","25","119","0","62","2097152","322234","14528","13960","2112","1865","24256","9536","36","26","26","57","52","2908","0","0",
"2022-07-19 16:17:42","59942556","11952776","34","740584","0","0","532","1174","21","0","71","12","8","0","0","","","16957252","665644","9694864","2901444","2870440","31004","0","0","1805","8855","74","13","25","120","0","62","2097152","454418","14528","13960","2112","1865","24256","9536","36","26","0","57","52","2908","0","0",
