time,syst-avail,syst-comm,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-tr,syst-tb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-st,syst-cpu-gu,syst-cgro-lim,syst-cgro-slim,syst-cgro-usg,syst-cgro-kusg,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-chea-usd,proc-chea-free,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2022-07-19 20:52:06","59374788","15286452","43","0","","","539","1397","3","0","","","","","","","","6143664","259980","4888792","1112284","1086024","26260","0","0","475","4053","","","5","","","33","1048576","2024","128","51","64","2","21504","7488","9","1","","3","0","465","","",
"2022-07-19 20:52:07","60260220","14013576","40","0","0","0","538","1412","5","0","24","1","75","0","0","","","5258784","255572","6335624","1332448","1301904","30544","0","0","2376","15816","24","1","8","11784","1","50","1048576","39415","22592","22326","2880","2733","36096","12992","20","1","13","130","126","5717","5252","0",
"2022-07-19 20:52:08","60176624","14040156","40","0","0","0","538","1419","10","0","28","1","71","0","0","","","5342416","256128","6889116","1414520","1383640","30880","0","0","4557","22475","29","1","10","6565","1","57","1048576","87185","40640","40205","5248","5018","60608","16256","27","4","8","243","238","9492","3777","2",
"2022-07-19 20:52:09","60134800","14065172","40","0","0","0","538","1417","9","0","18","1","82","0","0","","","5373912","256212","6911132","1445572","1414708","30864","0","0","3115","38057","18","0","10","6092","2","55","1048576","76589","62080","61621","8384","8139","101120","19904","25","4","0","301","295","14150","4659","1",
"2022-07-19 20:52:10","60089300","14106200","40","0","0","0","538","1421","1","0","26","1","74","0","0","","","5414148","256936","9338168","1485840","1454916","30924","0","0","6807","38853","26","0","13","9448","0","59","1048576","322351","66240","65659","8896","8623","101120","22272","29","4","277","387","380","15016","866","0",
"2022-07-19 20:52:11","60096368","14106200","40","0","0","0","538","1419","1","0","0","0","100","0","0","","","5405048","256884","9338168","1476752","1445828","30924","0","0","6809","38851","0","0","13","119","0","59","1048576","322351","66240","65660","8896","8623","101120","22272","29","4","0","387","380","15016","0","0",
"2022-07-19 20:52:12","60096368","14104452","40","0","0","0","538","1418","1","0","0","0","100","0","0","","","5403720","256812","9338168","1476752","1445828","30924","0","0","6809","38851","0","0","13","119","0","59","1048576","322351","66240","65660","8896","8623","101120","22272","29","4","0","387","380","15016","0","0",
"2022-07-19 20:52:13","60096156","14104436","40","0","0","0","538","1417","1","0","0","0","100","0","0","","","5403224","256796","9338168","1476496","1445572","30924","0","0","6808","38852","0","0","13","119","0","58","1048576","322851","66240","65660","8896","8623","101120","22272","28","4","0","387","380","15016","0","0",
"2022-07-19 20:52:14","60104708","14063708","40","0","0","0","537","1412","1","0","0","0","100","0","0","","","5387308","256344","9338168","1476496","1445572","30924","0","0","6808","38852","0","0","13","119","0","58","1048576","322851","66240","65660","8896","8623","101120","22272","28","4","0","387","380","15016","0","0",
"2022-07-19 20:52:15","60117424","14063660","40","0","0","0","537","1409","1","0","0","0","100","0","0","","","5367224","256244","9338168","1456612","1425688","30924","0","0","6804","38856","0","0","13","119","0","55","1048576","322851","66240","65660","8896","8623","101120","22272","25","4","0","387","380","15016","0","0",
